Team,Team2,Stadium,Latitude,Longitude,Country
Hapoel Tel Aviv,Hapoel Tel Aviv F.C.,Bloomfield Stadium,32.05175,34.761625,Israel
Heart of Midlothian,Unknown,Unknown,,,Scotland
Hellas Verona,Hellas Verona F.C.,Stadio Marc'Antonio Bentegodi,45.435356,10.968647,Italy
Helsingborgs IF,Helsingborgs IF,Olympia,56.049444444,12.706944444,Sweden
Helsingborgs IF,Trelleborgs FF,Vångavallen,55.38680556,13.15816667,Sweden
Helsingfors IFK,Unknown,Unknown,,,Finland
Hertha BSC,Hertha BSC,Olympiastadion Berlin,52.514722222,13.239444444,Germany
Hibernian FC,Unknown,Unknown,,,Scotland
Hibernians,Hibernians F.C.,Hibernians Ground,35.880278,14.512778,Malta
Hvidovre IF,Hvidovre IF,Hvidovre Stadion,55.631922,12.482878,Denmark
IA Akranes,Unknown,Unknown,,,Iceland
IB Keflavik,Unknown,Unknown,,,Iceland
IB Vestmannaeyja,Íþróttabandalag Vestmannaeyja,Hásteinsvöllur,63.439414,-20.28795,Iceland
IFK Goteborg,AIK Fotboll,Friends Arena,59.3725,18.0,Sweden
IFK Goteborg,IF Elfsborg,Borås Arena,57.73457,12.934334,Sweden
IFK Goteborg,IFK Göteborg,Gamla Ullevi,57.706111111,11.980555555,Sweden
IFK Goteborg,IFK Trelleborg,Vångavallen,55.38680556,13.15816667,Sweden
IFK Malmo,IFK Malmö,Malmö stadion,55.586111111,12.989166666,Sweden
IFK Norrkoping,IFK Norrköping,Idrottsparken,58.584166666,16.173055555,Sweden
IK Start,Unknown,Unknown,,,Norwey
Ilves Tampere,Unknown,Unknown,,,Finland
Inter Baku PIK,Inter Baku PFC,Shafa Stadium,40.410986,49.897711,Azerbaijan
Inter Turku,FC Inter Turku,Veritas Stadion,60.442778,22.291667,Finland
Internazionale,Unknown,Unknown,,,Italy
Ipswich Town,Unknown,Unknown,,,England
Irtysh Pavlodar,FC Irtysh Pavlodar,Pavlodar Central Stadium,52.276383,76.949712,Kazakhstan
Jeunesse Esch,Unknown,Unknown,,,Luxembourg
Juventus,Juventus F.C.,Juventus Stadium,45.109594,7.641247,Italy
KA Akureyri,Unknown,Unknown,,,Iceland
KB Kobenhavn,Unknown,Unknown,,,Denmark
KF Tirana,KF Tirana,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
KF Tirana,KF Tirana B,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
KF Tirana,KS Dinamo Tirana,Qemal Stafa Stadium,41.318314,19.824075,Albania
KF Tirana,Tirana AS,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
KI Klaksvik,Unknown,Unknown,,,Feroe Islands
KPV Kokkola,Unknown,Unknown,,,Finland
KR Reykjavik,Unknown,Unknown,,,Iceland
KRC Genk,K.R.C. Genk,Cristal Arena,51.005,5.533333,Belgium
KS Elbasani,KS Elbasani,Ruzhdi Bizhuta Stadium,41.115875,20.091992,Albania
KS Flamurtari Vlore,Unknown,Unknown,,,Albania
KSK Beveren,K.S.K. Beveren,Freethiel Stadion,51.214139,4.243931,Belgium
KV Mechelen,K.R.C. Mechelen,Oscar Vankesbeeck Stadion,51.0375,4.471667,Belgium
KV Mechelen,KV Mechelen,Argosstadion Achter de Kazerne,51.037222,4.486389,Belgium
Kairat,FC Kairat,Almaty Central Stadium,43.238331,76.92435,Kazakhstan
Kaiserslautern,1. FC Kaiserslautern,Fritz-Walter-Stadion,49.434444,7.775833,Germany
Kalmar FF,Dalkurd FF,Domnarvsvallen,60.495,15.434166666,Sweden
Kalmar FF,Kalmar FF,Guldfågeln Arena,56.69070278,16.31523333,Sweden
Kalmar FF,Malmö FF,Swedbank Stadion,55.583611111,12.987777777,Sweden
Kapaz,Unknown,Unknown,,,Azerbaijan
Khazar Lankaran,FK Khazar Lankaran,Lankaran City Stadium,38.747189,48.857131,Azerbaijan
Kilmarnock,Unknown,Unknown,,,Scotland
Kispesti Honved,Budapest Honvéd FC,Bozsik Stadion,47.4425,19.155103,Hungary
Kobenhavn,Unknown,Unknown,,,Denmark
Koge BK,Unknown,Unknown,,,Denmark
Koln,Unknown,Unknown,,,Germany
Koper,FC Koper,Bonifika Stadium,45.542356,13.730453,Slovenia
Kosice,MFK Košice,Lokomotíva Stadium,48.740836,21.244497,Slovakia
Kuopion PS,Kuopion Palloseura,Kuopio Football Stadium,62.884444,27.670833,Finland
LKS Lodz,Unknown,Unknown,,,Poland
La Fiorita,Unknown,Unknown,,,San Marino
Lantana Tallinn,FC Levadia Tallinn,Kadriorg Stadium,59.434472222,24.783444444,Estonia
Lausanne Sports,FC Lausanne-Sport,Stade Olympique de la Pontaise,46.534,6.625,Switzerland
Lazio,S.S. Lazio,Stadio Olimpico,41.933872,12.454714,Italy
Lech Poznan,Lech Poznań,Stadion Miejski,52.397222,16.858056,Poland
Leeds United,Unknown,Unknown,,,England
Legia Warsaw,KP Legia Warsaw,Polish Army Stadium,52.220461,21.040628,Poland
Legia Warsaw,Polonia Warsaw,Stadion Polonii Warszawa,52.255517,21.001322,Poland
Levadia,Unknown,Unknown,,,Estonia
Levski Sofia,PFC Levski Sofia,Georgi Asparuhov Stadium,42.705467,23.363197,Bulgaria
Liepajas Metalurgs,Unknown,Unknown,,,Latvia
Lierse,Lierse S.K.,Herman Vanderpoortenstadion,51.144167,4.573611,Belgium
Lille OSC,Lille O.S.C.,Stade Pierre-Mauroy,50.611944,3.130556,France
Lillestrom,Unknown,Unknown,,,Norwey
Limerick FC,Limerick F.C.,Thomond Park,52.674167,-8.6425,Ireland
Lincoln Red Imps,Unknown,Unknown,,,Gibraltar
Linfield,Unknown,Unknown,,,Northern Ireland
Linzer ASK,Grazer AK,UPC-Arena,47.046111,15.454444,Austria
Lisburn Distillery,Unknown,Unknown,,,Northern Ireland
Liverpool,Unknown,Unknown,,,England
Llanelli,Unknown,Unknown,,,Wales
Lokomotiv Moskva,FC Lokomotiv Moscow,Lokomotiv Stadium,55.80355,37.741169,Russia
Lokomotiv Sofia,PFC Lokomotiv Mezdra,Lokomotiv Stadium,43.138889,23.7125,Bulgaria
Lokomotiv Sofia,PFC Lokomotiv Plovdiv,Lokomotiv Stadium,42.133889,24.771667,Bulgaria
Lokomotiv Sofia,PFC Lokomotiv Sofia,Lokomotiv Stadium,42.737639,23.314806,Bulgaria
Lugano,FC Lugano,Cornaredo Stadium,46.023611,8.961667,Switzerland
Lusitanos,FC Lusitanos,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
Lyn Oslo,Unknown,Unknown,,,Norwey
Lyngby BK,Lyngby Boldklub,Lyngby Stadion,55.7811,12.5058,Denmark
MFK Ruzomberok,MFK Ružomberok,Štadión MFK Ružomberok,49.0825,19.28388889,Slovakia
MSK Zilina,MŠK Žilina,Štadión pod Dubňom,49.229167,18.744722,Slovakia
MTK,Unknown,Unknown,,,Hungary
MYPA,MYPA,Saviniemi,60.772778,26.790278,Finland
Maccabi Haifa,Maccabi Haifa F.C.,Kiryat Eliezer Stadium,32.827322,34.981284,Israel
Maccabi Haifa,Maccabi Netanya F.C.,Netanya Stadium,32.294397,34.864433,Israel
Maccabi Tel Aviv,Maccabi Tel Aviv F.C.,Bloomfield Stadium,32.05175,34.761625,Israel
Magdeburg,1. FC Magdeburg,MDCC-Arena,52.125556,11.670833,Germany
Magdeburg,Magdeburger FFC,Heinrich Germer Stadium,52.105556,11.600833,Germany
Makedonija,Unknown,Unknown,,,Macedonia
Malaga CF,Granada CF,Estadio Nuevo Los Cármenes,37.152967,-3.595736,Spain
Malaga CF,Málaga C.F.,El Molinón,43.536111,-5.637222,Spain
Malaga CF,Málaga CF,La Rosaleda Stadium,36.734092,-4.426422,Spain
Malaga CF,Talavera CF,Q5639290,39.965597222,-4.821888888,Spain
Malmo FF,Kalmar FF,Guldfågeln Arena,56.69070278,16.31523333,Sweden
Malmo FF,Malmö FF,Swedbank Stadion,55.583611111,12.987777777,Sweden
Manchester City,Unknown,Unknown,,,England
Manchester United,Unknown,Unknown,,,England
Marsaxlokk,Marsaxlokk F.C.,Marsaxlokk Ground,35.841667,14.544722,Malta
Metalist Kharkiv,Unknown,Unknown,,,Ukrania
Metalurgi Rustavi,FC Metalurgi Rustavi,Poladi Stadium,41.541,45.006944,Georgia
Metz,F.C. Metz,Stade Saint-Symphorien,49.109813,6.159511,France
Midtjylland,FC Midtjylland,MCH Arena,56.11666667,8.95166667,Denmark
Milsami Orhei,Unknown,Unknown,,,Moldova
Mlada Boleslav,FK Mladá Boleslav,Městský stadion,50.427083,14.914783,Czech Republic
Molde FK,Unknown,Unknown,,,Norwey
Montpellier HSC,Unknown,Unknown,,,France
Moss FK,Unknown,Unknown,,,Norwey
Motherwell,Unknown,Unknown,,,Scotland
Murata,Unknown,Unknown,,,San Marino
NK Brotnjo,Unknown,Unknown,,,Bosnia and Herzegovina
NK Domzale,NK Domžale,Domžale Sports Park,46.136967,14.602343,Slovenia
NK Maribor,NK Branik Maribor,Ljudski vrt,46.5625,15.640556,Slovenia
NK Maribor,NK Maribor,Ljudski vrt,46.5625,15.640556,Slovenia
NK Siroki Brijeg,Unknown,Unknown,,,Bosnia and Herzegovina
NK Zagreb,N.K. Dinamo Zagreb,Stadion Maksimir,45.818858333,16.018077777,Croatia
NK Zagreb,N.K. Zagreb,Stadion Kranjčevićeva,45.804722,15.960833,Croatia
NK Zagreb,NK Varteks,Stadion Anđelko Herjavec,46.31313611,16.34172778,Croatia
NK Zagreb,NK Zadar,Stadion Stanovi,44.112667,15.246829,Croatia
NSI,Unknown,Unknown,,,Feroe Islands
Nantes,F.C. Nantes,Stade de la Beaujoire,47.255556,-1.525278,France
Neftchi PFC Baku,FC Baku,Tofiq Bahramov Stadium,40.397333,49.852417,Azerbaijan
Neftchi PFC Baku,Neftchi Baku PFC,Eighth Kilometer District Stadium,40.400163,49.944019,Azerbaijan
Neuchatel Xamax FC,Neuchâtel Xamax,Stade de la Maladière,46.9952,6.944,Switzerland
Newcastle United,Unknown,Unknown,,,England
Nomme Kalju,Nõmme Kalju FC,Kadriorg Stadium,59.434472222,24.783444444,Estonia
Nordsjaelland,FC Nordsjælland,Farum Park,55.815847,12.353289,Denmark
Nottingham Forest,Unknown,Unknown,,,England
Nurnberg,1. FC Nürnberg,Stadion Nürnberg,49.426389,11.125278,Germany
OGC Nice,O.G.C. Nice,Allianz Riviera,43.706944,7.194444,France
OPS Oulu,AC Oulu,Raatti Stadium,65.019694444,25.465805555,Finland
Odense BK,Odense Boldklub,EWII Park,55.397771,10.350055,Denmark
Olimpija Ljubljana,NK Olimpija Ljubljana,Stožice Stadium,46.081111,14.521389,Slovenia
Olympiacos,Olympiacos F.C.,Karaiskakis Stadium,37.946169,23.664536,Greece
Olympique Lyon,Nîmes Olympique,Stade des Costières,43.815972,4.359278,France
Olympique Lyon,Olympique Alès,Stade Pierre Pibarot,44.11888889,4.09,France
Olympique Lyon,Olympique Lyonnais,Parc Olympique lyonnais,45.764327777,4.979825,France
Olympique Lyon,Olympique Lyonnais,Stade de Gerland,45.723889,4.8325,France
Olympique Marseille,Olympique Alès,Stade Pierre Pibarot,44.11888889,4.09,France
Olympique Marseille,Olympique Lyonnais,Parc Olympique lyonnais,45.764327777,4.979825,France
Olympique Marseille,Olympique Lyonnais,Stade de Gerland,45.723889,4.8325,France
Olympique Marseille,Olympique Saint-Maurice,Stade de la Soie,45.827062,4.978608,France
Olympique Marseille,Olympique de Marseille,Stade Vélodrome,43.269722222,5.395833333,France
Omonia Nicosia,Gaydzak Nicosia,GSP Stadium (1902),35.168,33.3558,Cyprus
Omonia Nicosia,Olympiakos Nicosia FC,Makario Stadium,35.146111,33.314444,Cyprus
Omonia Nicosia,Omonia Ormideia,Ormideia Community Stadium,34.983509,33.77891,Cyprus
Omonia Nicosia,Orfeas Nicosia,GSP Stadium (1902),35.168,33.3558,Cyprus
Omonia Nicosia,Orfeas Nicosia,Orfeas Stadium,35.17699,33.371782,Cyprus
Orgryte IS,Örgryte IS,Gamla Ullevi,57.706111111,11.980555555,Sweden
Osasuna,CAO Osasuna,El Sadar Stadium,42.796667,-1.636944,Spain
Osters IF,Östers IF,Myresjöhus Arena,56.879722222,14.776388888,Sweden
Osters IF,Östersunds DFF,Jämtkraft Arena,63.194722222,14.655833333,Sweden
Osters IF,Östersunds FK,Jämtkraft Arena,63.194722222,14.655833333,Sweden
Otelul Galati,FC Oțelul Galați,Stadionul Oțelul,45.430236,28.022378,Romania
PAOK,PAOK FC,Toumba Stadium,40.613839,22.972422,Greece
PFC Beroe,Unknown,Unknown,,,Bulgaria
PFC Litex Lovech,PFC Litex Lovech,Lovech Stadium,43.142639,24.724861,Bulgaria
PFC Lokomotiv Plovdiv,FC Spartak Plovdiv,Todor Diev Stadium,42.131667,24.743611,Bulgaria
PFC Lokomotiv Plovdiv,PFC Botev Plovdiv,Hristo Botev Stadium,42.139861,24.764444,Bulgaria
PFC Lokomotiv Plovdiv,PFC Lokomotiv Mezdra,Lokomotiv Stadium,43.138889,23.7125,Bulgaria
PFC Lokomotiv Plovdiv,PFC Lokomotiv Plovdiv,Lokomotiv Stadium,42.133889,24.771667,Bulgaria
PFC Lokomotiv Plovdiv,PFC Lokomotiv Sofia,Lokomotiv Stadium,42.737639,23.314806,Bulgaria
PFC Ludogorets Razgrad,PFC Ludogorets Razgrad,Ludogorets Arena,43.53361111,26.5275,Bulgaria
PFC Slavia Sofia,PFC Akademik Sofia,Akademik Stadium,42.685278,23.368611,Bulgaria
PFC Slavia Sofia,PFC CSKA - Sofia,Balgarska Armia Stadium,42.684258,23.339769,Bulgaria
PFC Slavia Sofia,PFC Levski Sofia,Georgi Asparuhov Stadium,42.705467,23.363197,Bulgaria
PFC Slavia Sofia,PFC Lokomotiv Sofia,Lokomotiv Stadium,42.737639,23.314806,Bulgaria
PFC Slavia Sofia,PFC Slavia Sofia,Ovcha Kupel Stadium,42.675361,23.272028,Bulgaria
PSV Eindhoven,FC Eindhoven,Jan Louwers Stadion,51.411667,5.479444,Netherlands
PSV Eindhoven,PSV Eindhoven,Philips Stadion,51.4417,5.4674,Netherlands
Pacos de Ferreira,F.C. Paços de Ferreira,Estádio da Mata Real,41.271353,-8.385581,Portugal
Panathinaikos,Panathinaikos F.C.,Apostolos Nikolaidis Stadium,37.987169444,23.754194444,Greece
Paris Saint-Germain,Paris Saint-Germain,Parc des Princes,48.841388888,2.253055555,France
Paris Saint-Germain,Paris Saint-Germain F.C.,Stade Sébastien Charléty,48.818611,2.346667,France
Parma,Unknown,Unknown,,,Italy
Partizan Belgrade,Unknown,Unknown,,,Serbia
Petrolul Ploiesti,FC Petrolul Ploiești,Stadionul Ilie Oană,44.940278,26.033333,Romania
Petrolul Ploiesti,Prahova Ploiești,Stadionul Prahova,44.913892,26.041214,Romania
Petrzalka Akademia,FC Petržalka akadémia,Stadium FC Petržalka 1898,48.1333,17.1167,Slovakia
Pezoporikos Larnaca,Pezoporikos Larnaca FC,GSZ Stadium (1928),34.914167,33.628333,Cyprus
Pezoporikos Larnaca,Pezoporikos Larnaca FC,GSZ Stadium,34.925556,33.599722,Cyprus
Polonia Bytom,Polonia Bytom,Stadion Edwarda Szymkowiaka,50.35755833,18.89871667,Poland
Polonia Warszawa,KP Legia Warsaw,Polish Army Stadium,52.220461,21.040628,Poland
Polonia Warszawa,Polonia Warsaw,Stadion Polonii Warszawa,52.255517,21.001322,Poland
Portadown,Unknown,Unknown,,,Northern Ireland
Progres Niedercorn,Unknown,Unknown,,,Luxembourg
Pyunik,FC Pyunik,Republican Stadium,40.171944,44.525833,Armenia
Qarabag FK,Unknown,Unknown,,,Azerbaijan
RC Lens,R.C. Lens,Stade Félix-Bollaert,50.432778,2.814722,France
RC Strasbourg,RC Strasbourg,Stade de la Meinau,48.560064,7.754969,France
RCD Mallorca,CA Marbella,Estadio Municipal de Marbella,36.51166667,-4.87888889,Spain
RCD Mallorca,RCD Mallorca,Iberostar Stadium,39.59,2.63,Spain
RCD Mallorca,UD Marbella,Estadio Municipal de Marbella,36.51166667,-4.87888889,Spain
RSC Anderlecht,R.S.C. Anderlecht,Constant Vanden Stock Stadium,50.834167,4.298333,Belgium
RWD Molenbeek,Unknown,Unknown,,,Belgium
Raba ETO Gyor,Unknown,Unknown,,,Hungary
Rabat Ajax,Rabat Ajax F.C.,Rabat Ajax Football Ground,35.89277778,14.40138889,Malta
Rabotnicki,Unknown,Unknown,,,Macedonia
Ranger's,FC Rànger's,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
Rangers,Unknown,Unknown,,,Scotland
Rapid Bucuresti,FC Rapid București,Stadionul Giulești-Valentin Stănescu,44.455931,26.056831,Romania
Rapid Bucuresti,Victoria București,Stadionul Florea Dumitrache,44.4575,26.1025,Romania
Rapid JC Heerlen,Unknown,Unknown,,,Netherlands
Rapid Wien,SK Rapid Wien,Gerhard-Hanappi-stadium,48.197778,16.265278,Austria
Real Betis,Real Avilés,Estadio Román Suárez Puerta,43.5575,-5.9306,Spain
Real Betis,Real Betis B,Ciudad Deportiva Luis Del Sol,37.3517,-5.98222,Spain
Real Betis,Real Betis Balompié,Estadio Benito Villamarín,37.356403,-5.981611,Spain
Real Madrid,Atlético Madrid,Vicente Calderón Stadium,40.401667,-3.720556,Spain
Real Madrid,Real Madrid C,Ciudad Real Madrid,40.47916667,-3.61166667,Spain
Real Madrid,Real Madrid C.F.,Ciudad Real Madrid,40.47916667,-3.61166667,Spain
Real Madrid,Real Madrid FC,Estadio Santiago Bernabéu,40.45306,-3.68835,Spain
Real Madrid,Real Murcia,Estadio Nueva Condomina,38.042222,-1.144722,Spain
Real Madrid,Real Valladolid,Estadio Carlos Tartiere,43.360783,-5.870222,Spain
Real Madrid,Real Valladolid,Q8199533,41.64444444,-4.76111111,Spain
Real Madrid,Real Valladolid B,Q8199533,41.64444444,-4.76111111,Spain
Real Sociedad,Real Murcia,Estadio Nueva Condomina,38.042222,-1.144722,Spain
Real Sociedad,Real Sociedad,Anoeta Stadium,43.301378,-1.973617,Spain
Real Sociedad,Real Sociedad,Zubieta Facilities,43.2589,-2.02382,Spain
Real Sociedad,Real Sociedad B,Zubieta Facilities,43.2589,-2.02382,Spain
Red Boys Differdange,Unknown,Unknown,,,Luxembourg
Renova,Unknown,Unknown,,,Macedonia
Rhyl,Unknown,Unknown,,,Wales
Rosenborg BK,Unknown,Unknown,,,Norwey
Rot-Weiss Essen,Rot Weiss Ahlen,Wersestadion,51.753333,7.905,Germany
Rot-Weiss Essen,Rot-Weiss Essen,Stadion Essen,51.486667,6.976389,Germany
Rot-Weiss Essen,Rot-Weiss Frankfurt,Stadion am Brentanobad,50.1247,8.62056,Germany
Rot-Weiss Essen,Rot-Weiß Oberhausen,Niederrheinstadion,51.493611,6.854444,Germany
Rot-Weiss Essen,Schwarz-Weiß Essen,Uhlenkrugstadion,51.4266,7.01825,Germany
Royal Antwerp FC,Unknown,Unknown,,,Belgium
Rubin Kazan,Rubin Kazan,Central Stadium,55.796944,49.098889,Russia
Ruch Chorzow,Ruch Chorzów,Stadion Ruchu,50.282203,18.944178,Poland
S.S. Folgore Falciano Calcio,Unknown,Unknown,,,San Marino
SC Motor Jena,SV Motor Altenburg,Q2291675,50.97,12.4356,Germany
SC Motor Jena,SV Schott Jena,Q2312911,50.9164,11.585,Germany
SC Wismut Karl-Marx-Stadt,Unknown,Unknown,,,Germany
SK Slovan Bratislava,FK Inter Bratislava,Štadión Pasienky,48.166111,17.141111,Slovakia
SK Slovan Bratislava,ŠK Slovan Bratislava,Štadión Pasienky,48.166111,17.141111,Slovakia
SK VOEST Linz,Unknown,Unknown,,,Austria
SL Benfica,S.L. Benfica,Estádio da Luz,38.752677777,-9.184680555,Portugal
SL Benfica,S.L. Benfica,Estádio da Luz,38.752677777,-9.184680555,Portugal
SL Benfica,S.L. Benfica,Estádio da Luz,38.752677777,-9.184680555,Portugal
SL Benfica,S.L. Benfica B,Estádio da Luz,38.752677777,-9.184680555,Portugal
SL Benfica,S.L. Benfica Juniors,Futebol Campus,38.640556,-9.091944,Portugal
SSC Napoli,Napoli,Stadio San Paolo,40.827967,14.193008,Italy
SSW Innsbruck,FC Wacker Innsbruck,Tivoli-Neu,47.255972,11.410789,Austria
Saarbrucken,1. FC Saarbrücken,Ludwigsparkstadion,49.2475,6.984167,Germany
Saarbrucken,1. FC Saarbrücken,Q2326077,49.2342,7.02444,Germany
Saarbrucken,SV Saar 05 Saarbrücken,Q2326077,49.2342,7.02444,Germany
Salzburg,Unknown,Unknown,,,Austria
Sampdoria,Unknown,Unknown,,,Italy
Schalke 04,FC Schalke 04,Veltins Arena,51.554502777,7.067588888,Germany
Servette Geneve,Servette FC,Stade de Genève,46.177778,6.1275,Switzerland
Sevilla,Sevilla FC,Estadio Ramón Sánchez Pizjuán,37.383878,-5.970467,Spain
Shakhtar Donetsk,Unknown,Unknown,,,Ukrania
Shakhter Karagandy,FC Shakhter Karagandy,Shakhtyor Stadium,49.818618,73.075122,Kazakhstan
Shakhtyor Soligorsk,Unknown,Unknown,,,Belarus
Shamkir,Unknown,Unknown,,,Azerbaijan
Shamrock Rovers,Shamrock Rovers F.C.,Tallaght Stadium,53.2835,-6.37374,Ireland
Shelbourne,Shelbourne F.C.,Tolka Park,53.367514,-6.251983,Ireland
Sheriff Tiraspol,Unknown,Unknown,,,Moldova
Shirak,Shirak FC,Gyumri City Stadium,40.785833,43.833333,Armenia
Shkendija,Unknown,Unknown,,,Macedonia
Silkeborg IF,Silkeborg IF,Silkeborg Stadion,56.15777778,9.55305556,Denmark
Silkeborg IF,Viborg FF,Viborg Stadion,56.455897,9.402064,Denmark
Sion,FC Sion,Stade Tourbillon,46.233333,7.376389,Switzerland
Sioni Bolnisi,FC Sioni Bolnisi,Tamaz Stephania Stadium,41.447996,44.535185,Georgia
Sivasspor,Manisaspor,Manisa 19 Mayıs Stadium,38.623006,27.439933,Turkey
Sivasspor,Samsunspor,Samsun 19 Mayıs Stadium,41.270014,36.356122,Turkey
Sivasspor,Sivasspor,Sivas 4 Eylül Stadium,39.741028,37.003306,Turkey
Skeid Oslo,Unknown,Unknown,,,Norwey
Skenderbeu Korce,KF Skënderbeu Korçë,Skënderbeu Stadium,40.625833,20.782778,Albania
Skonto,Skonto FC,Skonto Stadium,56.961372,24.116408,Latvia
Slask Wroclaw,Śląsk Wrocław,Stadion Miejski,51.141797,16.944094,Poland
Slavia Praha,SK Slavia Prague,Eden Arena,50.066944,14.471389,Czech Republic
Sliema Wanderers,Sliema Wanderers F.C.,Ta' Qali National Stadium,35.894863888,14.415372222,Malta
Sligo Rovers,Sligo Rovers F.C.,Showgrounds,54.270042,-8.487233,Ireland
Sloga Jugomagnat Skopje,Unknown,Unknown,,,Macedonia
Slovan Liberec,FC Slovan Liberec,Stadion u Nisy,50.776214,15.049972,Czech Republic
Sparta Praha,AC Sparta Prague,Generali Arena,50.099716,14.416122,Czech Republic
Sparta Rotterdam,Sparta Rotterdam,Sparta Stadion Het Kasteel,51.919444,4.433333,Netherlands
Spartak Moskva,Spartak Moscow,Otkrytie Arena,55.8175,37.435556,Russia
Spartak Plovdiv,FC Spartak Plovdiv,Todor Diev Stadium,42.131667,24.743611,Bulgaria
Spartak TAZ Trnava,FC Spartak Trnava,Štadión Antona Malatinského,48.373333,17.591667,Slovakia
Spartak TAZ Trnava,Spartak Myjava,Stadium Myjava,48.7428,17.5587,Slovakia
Spora Luxemburg,Unknown,Unknown,,,Luxembourg
Sporting Braga,Unknown,Unknown,,,Portugal
Sporting CP,Unknown,Unknown,,,Portugal
St Patrick's Athletic,St Patrick's Athletic F.C.,Richmond Park,53.340922,-6.316619,Ireland
St. Gallen,FC St. Gallen,Kybunpark,47.408333,9.306389,Switzerland
Stabaek,Unknown,Unknown,,,Norwey
Stade Dudelange,F91 Dudelange,Stade Jos Nosbaum,49.472222222,6.084722222,Luxembourg
Stade Reims,Stade Brestois 29,Stade Francis-Le Blé,48.402932,-4.461694,France
Stade Reims,Stade Lavallois,Stade Francis Le Basser,48.0825,-0.754722,France
Stade Reims,Stade Rennais F.C.,Roazhon Park,48.107444,-1.712833,France
Stade Reims,Stade de Reims,Stade Auguste Delaune,49.246667,4.025,France
Stal Mielec,Stal Mielec,Stadion Stali Mielec,50.298611,21.435833,Poland
Standard Liege,Standard Liège,Stade Maurice Dufrasne,50.609908,5.543344,Belgium
Steaua Bucuresti,CS Juventus București,Stadionul Juventus,44.465711,26.145267,Romania
Steaua Bucuresti,FC Steaua Bucharest,National Arena,44.4372,26.1525,Romania
Steaua Bucuresti,FC Steaua Bucharest,National Arena,44.437208,26.152508,Romania
Steaua Bucuresti,Venus București,Stadionul Venus,44.4362,26.0766,Romania
Steaua Bucuresti,Victoria București,Stadionul Florea Dumitrache,44.4575,26.1025,Romania
Stjarnan,Unknown,Unknown,,,Iceland
Stromsgodset IF,Unknown,Unknown,,,Norwey
Sturm Graz,S.K. Sturm Graz,UPC-Arena,47.046111,15.454444,Austria
Sutjeska Niksic,FK Sutjeska Nikšić,Gradski stadion,42.784947,18.953731,Montenegro
Szombierki Bytom,Unknown,Unknown,,,Poland
TJ Vitkovice,FC Vítkovice,Městský stadion,49.804142,18.254782,Czech Republic
TJ Vitkovice,FC Vítkovice,Městský stadion,49.8044,18.2561,Czech Republic
TPS Turku,Unknown,Unknown,,,Finland
TSV 1860 Munchen,TSV 1860 München,Allianz Arena,48.218775,11.624752777,Germany
TSV 1860 Munchen,TSV 1860 München II,Grünwalder Stadion,48.110833,11.574444,Germany
TSV 1860 Munchen,TSV 1860 Rosenheim,Q1553794,47.8479,12.1293,Germany
TVMK,Unknown,Unknown,,,Estonia
Tampere United,Tampere United,Tampere Stadium,61.4925,23.764167,Finland
Tampere United,Åland United,Wiklöf Holding Arena,60.102222,19.935278,Finland
Tavriya Simferopol,Unknown,Unknown,,,Ukrania
Teplice,FK Teplice,Na Stínadlech,50.640075,13.817936,Czech Republic
The New Saints,Unknown,Unknown,,,Wales
Thun,FC Thun,Arena Thun,46.744817,7.606075,Switzerland
Tobol,FC Tobol,Kostanay Central Stadium,53.225974,63.636578,Kazakhstan
Torino,Unknown,Unknown,,,Italy
Torpedo Kutaisi,FC Torpedo Kutaisi,Ramaz Shengelia Stadium,42.255141666,42.683086111,Georgia
Torpedo Moskva,FC Torpedo Moscow,Eduard Streltsov Stadium,55.716389,37.656389,Russia
Torpedo Moskva,FC Torpedo-ZIL Moscow,Eduard Streltsov Stadium,55.716389,37.656389,Russia
Tottenham Hotspur,Unknown,Unknown,,,England
Toulouse,FC Mulhouse,Stade de l'Ill,47.73805556,7.32111111,France
Toulouse,Toulouse F.C.,Stadium Municipal,43.583296,1.434055,France
Toulouse,Toulouse FC,Stadium Municipal,43.583296,1.434055,France
Trabzonspor,1461 Trabzon,Hüseyin Avni Aker Stadium,41.003664,39.705317,Turkey
Trabzonspor,Trabzonspor,Hüseyin Avni Aker Stadium,41.003664,39.705317,Turkey
Trakia Plovdiv,FC Spartak Plovdiv,Todor Diev Stadium,42.131667,24.743611,Bulgaria
Tre Fiori,Unknown,Unknown,,,San Marino
Tre Penne,Unknown,Unknown,,,San Marino
Twente,FC Twente,De Grolsch Veste,52.236666666,6.8375,Netherlands
UE Sant Julia,UE Sant Julià,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
UE Sant Julia,UE Santa Coloma,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
UT Arad,FC UTA Arad,Stadionul Francisc von Neumann,46.1925,21.3114,Romania
UT Arad,FC UTA Arad,Stadionul Francisc von Neumann,46.192575,21.311442,Romania
Udinese,Unknown,Unknown,,,Italy
Ujpesti Dozsa SC,Unknown,Unknown,,,Hungary
