Team,Team2,Stadium,Latitude,Longitude,Country
BSG Chemie Leipzig,1. FC Lokomotive Leipzig,Bruno-Plache-Stadion,51.3029,12.4192,Germany
BSG Chemie Leipzig,BSG Chemie Leipzig,Alfred-Kunze-Sportpark,51.358056,12.307778,Germany
BSG Chemie Leipzig,RB Leipzig,Red Bull Arena,51.345833,12.348056,Germany
Baku,FC Baku,Tofiq Bahramov Stadium,40.397333,49.852417,Azerbaijan
Baku,MOIK Baku,Shafa Stadium,40.410986,49.897711,Azerbaijan
Banants,FC Banants,Banants Stadium,40.171426,44.449938,Armenia
Bangor City,Unknown,Unknown,,,Northern Ireland
Banik Ostrava,FC Baník Ostrava,Bazaly,49.845111,18.299392,Czech Republic
Barcelona,FC Barcelona,Camp Nou,41.380833,2.1225,Spain
Barcelona,FC Barcelona,Ciutat Esportiva Joan Gamper,41.37583333,2.05222222,Spain
Barcelona,FC Barcelona B,Mini Estadi,41.379722,2.118056,Spain
Barcelona,FC Barcelona C,Mini Estadi,41.379722,2.118056,Spain
Barcelona,FC Barcelona Hoquei,Palau Blaugrana,41.380081,2.12005,Spain
Barry Town,Unknown,Unknown,,,Wales
Basel,FC Basel,St. Jakob-Park,47.541389,7.62,Switzerland
Bayer Leverkusen,Bayer 04 Leverkusen,BayArena,51.038255555,7.002205555,Germany
Bayer Leverkusen,Bayer 04 Leverkusen,Q1621482,51.0375,7.00021,Germany
Bayern Munich,FC Bayern Munich,Allianz Arena,48.218775,11.624752777,Germany
Bayern Munich,FC Bayern Munich,Sportpark Aschheim,48.1619,11.7236,Germany
Beitar Jerusalem,Beitar Jerusalem F.C.,Teddy Stadium,31.751167,35.190617,Israel
Belshina Bobruisk,Unknown,Unknown,,,Israel
Besiktas,Unknown,Unknown,,,Turkey
Birkirkara,Unknown,Unknown,,,Malta
Blackburn Rovers,Unknown,Unknown,,,England
Boavista,Boavista F.C.,Estádio do Bessa,41.162222222,-8.642777777,Portugal
Bohemians,Bohemian F.C.,Dalymount Park,53.361667,-6.275,Ireland
Bohemians,Bohemian F.C.,Dalymount Park,53.3619,-6.275,Ireland
Bohemians,Cork Bohemians F.C.,Turners Cross,51.885528,-8.46775,Ireland
Bohemians EKD Praha,Bohemians 1905,Ďolíček,50.066667,14.454167,Czech Republic
Bohemians EKD Praha,FK Bohemians Prague,Stadion Evžena Rošického,50.080428,14.3837,Czech Republic
Bologna,Unknown,Unknown,,,Italy
Borac Banja Luka,FK Borac Banja Luka,Gradski stadion,44.7761,17.1996,Bosnia and Herzegovina
Borussia Dortmund,Borussia Fulda,Q2312741,50.5405,9.66582,Germany
Borussia Monchengladbach,Borussia Mönchengladbach,Borussia-Park,51.174583333,6.385463888,Germany
Borussia Monchengladbach,Borussia Neunkirchen,Ellenfeldstadion,49.3367,7.17972,Germany
Brann,Unknown,Unknown,,,Norwey
Breidablik,Breiðablik UBK,Kópavogsvöllur,64.104167,-21.896667,Iceland
Brondby IF,Brøndby IF,Brøndby Stadium,55.648853,12.418358,Denmark
Budapest Honved SE,Budapest Honvéd FC,Bozsik Stadion,47.4425,19.155103,Hungary
Budapesti Vasas,Unknown,Unknown,,,Hungary
Budapesti Voros Lobogo,Unknown,Unknown,,,Hungary
Buducnost,Unknown,Unknown,,,Montenegro
Burnley,Unknown,Unknown,,,England
Bursaspor,Bucaspor,Buca Arena,38.397585,27.195379,Turkey
Bursaspor,Bursaspor,Bursa Atatürk Stadium,40.192222,29.048333,Turkey
Bursaspor,Manisaspor,Manisa 19 Mayıs Stadium,38.623006,27.439933,Turkey
Bursaspor,Şanlıurfaspor,Şanlıurfa GAP Stadium,37.147832,38.806672,Turkey
CCA Bucuresti,FC Dinamo București,Stadionul Dinamo,44.455083,26.102444,Romania
CCA Bucuresti,FC Rapid București,Stadionul Giulești-Valentin Stănescu,44.455931,26.056831,Romania
CCA Bucuresti,Venus București,Stadionul Venus,44.4362,26.0766,Romania
CDNA Sofia,AS 23 Sofia,Balgarska Armia Stadium,42.684258,23.339769,Bulgaria
CDNA Sofia,PFC CSKA - Sofia,Balgarska Armia Stadium,42.684258,23.339769,Bulgaria
CFR Cluj,CFF Clujana,Stadionul Clujana,46.790278,23.612222,Romania
CFR Cluj,CFR Cluj,Stadionul Dr. Constantin Rădulescu,46.779678,23.577247,Romania
CSKA Moskva,PFC CSKA Moscow,Arena Khimki,55.88527778,37.45416667,Russia
CSKA Moskva,PFC CSKA Moscow,Arena CSKA,55.791389,37.516111,Russia
CSKA Sofia,AS 23 Sofia,Balgarska Armia Stadium,42.684258,23.339769,Bulgaria
CSKA Sofia,PFC CSKA - Sofia,Balgarska Armia Stadium,42.684258,23.339769,Bulgaria
CSKA Sofia,PFC Slavia Sofia,Ovcha Kupel Stadium,42.675361,23.272028,Bulgaria
Cagliari Calcio,A.C. Perugia Calcio,Stadio Renato Curi,43.106111,12.357222,Italy
Cagliari Calcio,A.C.D. Foggia Calcio,Stadio Pino Zaccheria,41.454444,15.5425,Italy
Cagliari Calcio,A.S. Casale Calcio,Q2326020,45.13130153,8.4451282,Italy
Cagliari Calcio,Brescia Calcio,Stadio Mario Rigamonti,45.570556,10.236944,Italy
Cagliari Calcio,Cagliari Calcio,Stadio Is Arenas,39.230833,9.181944,Italy
Cagliari Calcio,Foligno Calcio,Stadio Enzo Blasone,42.953333,12.691667,Italy
Cagliari Calcio,Novara Calcio,Stadio Silvio Piola,45.435833,8.595833,Italy
Cagliari Calcio,S.S. Chieti Calcio,Stadio Guido Angelini,42.343611,14.136389,Italy
Cagliari Calcio,San Marino Calcio,Stadio Olimpico,43.97125,12.476972,Italy
Cagliari Calcio,Spezia Calcio,Stadio Alberto Picco,44.102222,9.808611,Italy
Cagliari Calcio,Ternana Calcio,Stadio Libero Liberati,42.562222,12.635278,Italy
Cagliari Calcio,Trapani Calcio,Stadio Polisportivo Provinciale,38.028333,12.545833,Italy
Celta Vigo,Celta Vigo B,Municipal de Barreiro,42.22861,-8.68076,Spain
Celtic,Unknown,Unknown,,,Scotland
Chelsea,Unknown,Unknown,,,England
Cliftonville,Unknown,Unknown,,,Northern Ireland
Club Brugge,Club Brugge K.V.,Jan Breydel Stadium,51.193269,3.181311,Belgium
Club Brugge,Club Brugge KV,Jan Breydel Stadium,51.193269,3.181311,Belgium
Coleraine,Unknown,Unknown,,,Northern Ireland
Cork Celtic,Cork Celtic F.C.,Turners Cross,51.885528,-8.46775,Ireland
Cork City,Cork City F.C.,Turners Cross,51.885528,-8.46775,Ireland
Cork Hibernians,Cork Hibernians F.C.,Páirc Uí Rinn,51.891378,-8.436749,Ireland
Crusaders,Unknown,Unknown,,,Northern Ireland
Crvena Zvezda,ŽFK Crvena zvezda,Red Star Stadium,44.7832,20.464914,Serbia
Csepel SC,Unknown,Unknown,,,Hungary
Cwmbran Town,Unknown,Unknown,,,Wales
DOS Utrecht,FC Utrecht,Stadion Galgenwaard,52.078333333,5.145833333,Netherlands
DSO Spartak Hradec Kralove,FC Hradec Králové,Všesportovní stadion,50.206111,15.845278,Czech Republic
DWS Amsterdam,Blauw-Wit Amsterdam,Sportpark Sloten,52.33889,4.80722,Netherlands
Dacia Chisinau,Unknown,Unknown,,,Moldova
Daugava Daugavpils,Unknown,Unknown,,,Latvia
Debreceni VSC,Debreceni VSC,Stadion Oláh Gábor Út,47.549573,21.638882,Hungary
Deportivo La Coruna,Club Deportivo Lugo,Estadio Anxo Carro,43.003333,-7.570833,Spain
Deportivo La Coruna,Club Deportivo Numancia,Nuevo Estadio Los Pajaritos,41.754444,-2.467778,Spain
Deportivo La Coruna,Club Deportivo Ribaforada,Q5848381,42.0005,-1.51817,Spain
Deportivo La Coruna,Deportivo Alavés,Mendizorrotza Stadium,42.837111,-2.688044,Spain
Deportivo La Coruna,Deportivo Aragón,Ciudad Deportiva del Real Zaragoza,41.594625,-0.94899722,Spain
Deportivo La Coruna,Deportivo de La Coruña,Estadio Municipal de Riazor,43.368667,-8.417372,Spain
Derby County,Unknown,Unknown,,,England
Derry City,Unknown,Unknown,,,Northern Ireland
Dila Gori,FC Dila Gori,Tengiz Burjanadze Stadium,41.983019,44.103828,Georgia
Dinamo Bucuresti,FC Dinamo București,Stadionul Dinamo,44.455083,26.102444,Romania
Dinamo Bucuresti,FC Dinamo II București,Stadionul Florea Dumitrache,44.4575,26.1025,Romania
Dinamo Bucuresti,Venus București,Stadionul Venus,44.4362,26.0766,Romania
Dinamo Bucuresti,Victoria București,Stadionul Florea Dumitrache,44.4575,26.1025,Romania
Dinamo Kiev,Unknown,Unknown,,,Ukrania
Dinamo Minsk,FC Dinamo Minsk,Dinamo-Yuni Stadium,53.904439,27.416553,Belarus
Dinamo Moskva,FC Dynamo Moscow,Arena Khimki,55.88527778,37.45416667,Russia
Dinamo Tbilisi,FC Dinamo Tbilisi,Dinamo Arena,41.723,44.78975,Georgia
Dinamo Tbilisi,FC Norchi Dinamo Tbilisi,Sport-kompleksi Shatili,41.77854,44.80047,Georgia
Dinamo Tirana,KF Tirana,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
Dinamo Tirana,KS Dinamo Tirana,Qemal Stafa Stadium,41.318314,19.824075,Albania
Dinamo Tirana,Partizani Tirana,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
Dinamo Zagreb,N.K. Dinamo Zagreb,Stadion Maksimir,45.818858333,16.018077777,Croatia
Djurgardens IF,Djurgårdens I.F.,Stockholm Olympic Stadium,59.345278,18.078889,Sweden
Djurgardens IF,Djurgårdens IF Dam,Stockholm Olympic Stadium,59.345278,18.078889,Sweden
Dnepr Dnepropetrovsk,Unknown,Unknown,,,Ukrania
Dnepr Mogilev,FC Dnepr Mogilev,Spartak Stadium,53.905278,30.340556,Belarus
Drogheda United,Drogheda United F.C.,Hunky Dorys Park,53.723336,-6.357222,Ireland
Drogheda United,Monaghan United F.C.,Kingspan Century Park,54.2333,-6.96667,Ireland
Drumcondra Dublin,Unknown,Unknown,,,Ireland
Dukla Praha,FK Dukla Prague,Stadion Juliska,50.111389,14.3875,Czech Republic
Dukla Praha,FK Dukla Prague,Stadion Juliska,50.111389,14.3875,Czech Republic
Dunakanyar-Vac,Unknown,Unknown,,,Hungary
Dunaujvaros,Unknown,Unknown,,,Hungary
Dundalk,Dundalk F.C.,Oriel Park,53.998944,-6.416917,Ireland
Dundee,Unknown,Unknown,,,Scotland
Dundee United,Unknown,Unknown,,,Scotland
Dynamo Dresden,Dynamo Dresden,Stadion Dresden,51.040278,13.747778,Germany
EB / Streymur,Unknown,Unknown,,,Feroe Islands
EPA Larnaca,AEK Larnaca F.C.,AEK Arena - Georgios Karapatakis,34.9263,33.597747222,Cyprus
EPA Larnaca,Alki Larnaca F.C.,GSZ Stadium,34.925556,33.599722,Cyprus
EPA Larnaca,EPA Larnaca FC,GSZ Stadium (1928),34.914167,33.628333,Cyprus
EPA Larnaca,EPA Larnaca FC,GSZ Stadium,34.925556,33.599722,Cyprus
Eintracht Braunschweig,Eintracht Bad Kreuznach,Q1457827,49.8528,7.86944,Germany
Eintracht Braunschweig,Eintracht Braunschweig,Eintracht-Stadion,52.29,10.521389,Germany
Eintracht Braunschweig,Eintracht Frankfurt,Commerzbank-Arena,50.068611,8.645278,Germany
Eintracht Braunschweig,FC Eintracht Bamberg,Fuchs-Park-Stadion,49.9006,10.9289,Germany
Eintracht Braunschweig,FC Eintracht Rheine,Q1509496,52.2946,7.43189,Germany
Elfsborg,IF Elfsborg,Borås Arena,57.73457,12.934334,Sweden
Esbjerg fB,Esbjerg fB,Blue Water Arena,55.481944,8.439444,Denmark
Etar Tarnovo,FC Etar 1924 Veliko Tarnovo,Ivaylo Stadium,43.077222,25.620556,Bulgaria
Everton,Unknown,Unknown,,,England
F91 Dudelange,F91 Dudelange,Stade Jos Nosbaum,49.472222222,6.084722222,Luxembourg
FBK Kaunas,FBK Kaunas,Darius and Girėnas Stadium,54.897222,23.936944,Lithuania
FBK Kaunas,FK Ekranas,Aukštaitija Stadium,55.739167,24.359444,Lithuania
FC Aarau,FC Aarau,Stadion Brügglifeld,47.383333,8.06,Switzerland
FC Ararat,FC Ararat Yerevan,Abovyan City Stadium,40.268409,44.635241,Armenia
FC Ararat,FC Banants,Banants Stadium,40.171426,44.449938,Armenia
