club,clubLabel,venue,venueLabel,coordinates
http://www.wikidata.org/entity/Q50602,Manchester City F.C.,http://www.wikidata.org/entity/Q48159,City of Manchester Stadium,Point(-2.200277777 53.483055555)
http://www.wikidata.org/entity/Q509801,Rampla Juniors Football Club,http://www.wikidata.org/entity/Q48707,Estadio Olímpico,Point(-56.245413 -34.893108)
http://www.wikidata.org/entity/Q645684,C.A. Bella Vista,http://www.wikidata.org/entity/Q48709,Estadio José Nasazzi,Point(-56.209033 -34.861525)
http://www.wikidata.org/entity/Q1103101,Plaza Colonia,http://www.wikidata.org/entity/Q48710,Estadio Suppici,Point(-57.845278 -34.466944)
http://www.wikidata.org/entity/Q187502,Boston Beacons,http://www.wikidata.org/entity/Q49136,Fenway Park,Point(-71.0975 42.346388888)
http://www.wikidata.org/entity/Q663400,Deportivo Cali,http://www.wikidata.org/entity/Q54793,Estadio Palmaseca,Point(-76.417036 3.521642)
http://www.wikidata.org/entity/Q193481,AC Sparta Prague,http://www.wikidata.org/entity/Q60103,Generali Arena,Point(14.416122 50.099716)
http://www.wikidata.org/entity/Q1422,Juventus F.C.,http://www.wikidata.org/entity/Q62149,Juventus Stadium,Point(7.641247 45.109594)
http://www.wikidata.org/entity/Q194393,SK Slavia Prague,http://www.wikidata.org/entity/Q64858,Eden Arena,Point(14.471389 50.066944)
http://www.wikidata.org/entity/Q872702,Montevideo Wanderers Fútbol Club,http://www.wikidata.org/entity/Q73968,Estadio Viera,Point(-56.204166666 -34.861111111)
http://www.wikidata.org/entity/Q753462,FC Universitatea Cluj,http://www.wikidata.org/entity/Q74413,Cluj Arena,Point(23.572222 46.768333)
http://www.wikidata.org/entity/Q2931334,CFF Olimpia Cluj,http://www.wikidata.org/entity/Q74413,Cluj Arena,Point(23.572222 46.768333)
http://www.wikidata.org/entity/Q495299,Galatasaray S.K.,http://www.wikidata.org/entity/Q81492,Türk Telekom Arena,Point(28.990417 41.102861)
http://www.wikidata.org/entity/Q2641,Napoli,http://www.wikidata.org/entity/Q82709,Stadio San Paolo,Point(14.193008 40.827967)
http://www.wikidata.org/entity/Q18656,Manchester United F.C.,http://www.wikidata.org/entity/Q83457,Old Trafford,Point(-2.291388888 53.463055555)
http://www.wikidata.org/entity/Q929753,SD Compostela,http://www.wikidata.org/entity/Q84019,Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767)
http://www.wikidata.org/entity/Q2683624,SD Ciudad de Santiago,http://www.wikidata.org/entity/Q84019,Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767)
http://www.wikidata.org/entity/Q8416,Novara Calcio,http://www.wikidata.org/entity/Q94583,Stadio Silvio Piola,Point(8.595833 45.435833)
http://www.wikidata.org/entity/Q6630,Ascoli Picchio F.C. 1898,http://www.wikidata.org/entity/Q94591,Stadio Cino e Lillo Del Duca,Point(13.594167 42.861111)
http://www.wikidata.org/entity/Q8643,Vicenza Calcio,http://www.wikidata.org/entity/Q94612,Stadio Romeo Menti,Point(11.555556 45.544167)
http://www.wikidata.org/entity/Q7301099,Real Vicenza V.S.,http://www.wikidata.org/entity/Q94612,Stadio Romeo Menti,Point(11.555556 45.544167)
http://www.wikidata.org/entity/Q16344,A.C. Perugia Calcio,http://www.wikidata.org/entity/Q94619,Stadio Renato Curi,Point(12.357222 43.106111)
http://www.wikidata.org/entity/Q6664,A.C. Cesena,http://www.wikidata.org/entity/Q94625,Stadio Dino Manuzzi,Point(12.261944 44.140556)
http://www.wikidata.org/entity/Q6703,Empoli F.C.,http://www.wikidata.org/entity/Q94633,Stadio Carlo Castellani,Point(10.955 43.726389)
http://www.wikidata.org/entity/Q8408,Modena F.C.,http://www.wikidata.org/entity/Q94646,Stadio Alberto Braglia,Point(10.923333 44.653611)
http://www.wikidata.org/entity/Q8603,U.S. Sassuolo Calcio,http://www.wikidata.org/entity/Q94646,Stadio Alberto Braglia,Point(10.923333 44.653611)
http://www.wikidata.org/entity/Q8623,Ternana Calcio,http://www.wikidata.org/entity/Q94649,Stadio Libero Liberati,Point(12.635278 42.562222)
